collision_time,day_of_week,weather_1,type_of_collision,road_surface,road_cond_1,lighting,point_x,point_y,at_fault,party_soberiety,oaf_1,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,stwd_vehicle_type,race,victim_age,victim_sex,victim_role,safety_equip_used,victim_seating_postion,victim_ejected,severe_injury
10:30:00,1,A,B,A,H,A,-118.3494017,34.10162,N,A,N,0,1,B,2016,C,W,32,M,1,PV,1,0,0
21:30:00,3,A,E,A,H,C,-118.4262163,34.08082819,Y,A,A,0,1,C,2013,C,W,35,M,1,PW,1,1,1
19:45:00,2,A,D,A,H,C,-118.2740101,34.00912005,Y,A,A,0,1,B,2016,C,B,30,M,1,PW,1,2,0
16:20:00,4,A,B,A,H,A,-118.3004744,34.08231586,N,A,G,0,1,B,2013,C,W,27,M,1,PW,1,2,0
19:00:00,4,A,B,A,H,B,-118.4586801,34.25357004,N,A,N,0,1,B,2014,C,H,30,M,1,PW,1,0,0
18:22:00,7,A,C,A,H,A,-117.9533512,34.08740306,Y,A,A,0,1,B,2007,C,H,25,M,1,PW,1,0,0
16:15:00,6,A,H,A,H,A,-118.3009458,33.78940505,Y,A,N,0,1,L,2016,C,W,52,F,1,PW,1,0,0
16:34:00,5,A,G,A,H,A,-118.0488238,34.09071089,N,A,N,0,1,B,2012,C,A,57,M,1,PW,1,1,0
14:00:00,1,A,B,A,H,A,-118.3777724,34.21569726,N,A,N,0,1,A,2016,C,H,43,F,1,GM,1,0,0
09:09:00,6,A,B,A,H,A,-118.53604,34.19540568,N,A,N,0,1,B,2008,C,W,46,M,1,PW,1,0,0
06:17:00,1,A,D,A,H,A,-118.2652001,33.9915401,Y,A,N,0,1,B,2009,C,H,51,M,1,PW,1,1,0
14:10:00,1,A,D,A,H,A,-118.27335,34.11565008,N,A,A,0,1,B,2016,C,H,23,M,1,PV,1,1,0
18:55:00,4,A,D,A,H,C,-118.2840701,34.02364002,N,A,N,0,1,B,2006,C,O,23,M,1,BP,1,2,0
15:00:00,3,A,D,A,H,A,-118.5230007,34.22863953,Y,A,A,0,1,B,2013,C,W,55,M,1,PW,1,1,1
23:10:00,3,A,B,A,H,C,-118.3114759,34.09477,N,C,N,0,1,B,2011,C,H,34,M,1,PW,2,2,0
09:00:00,3,A,D,A,H,A,-118.46073,34.16486012,N,A,N,0,1,B,2014,C,H,32,M,1,PW,1,0,0
18:05:00,3,A,D,A,H,A,-118.4107173,34.20119024,N,A,N,0,1,B,2015,C,H,47,M,1,PW,1,1,0
01:00:00,6,C,A,B,H,C,-118.4311712,34.00482984,N,A,N,0,1,B,2005,C,W,32,M,1,MP,1,3,1
08:00:00,3,A,A,A,H,A,-118.3090401,34.04451007,Y,A,A,0,1,B,2008,C,B,29,M,1,PW,1,1,0
16:30:00,5,A,H,A,H,A,-118.3904532,34.02824562,Y,A,N,0,1,B,2017,C,W,25,M,1,PW,1,0,0
08:30:00,7,A,C,A,H,A,-118.4928276,34.01227797,N,A,N,0,2,H,2012,C,W,62,F,2,PW,2,0,0
08:30:00,7,A,C,A,H,A,-118.4928276,34.01227797,N,A,N,0,2,H,2012,C,W,69,M,1,PW,1,0,0
15:00:00,1,A,D,A,H,A,-118.29239,33.72880002,N,A,N,0,1,B,2012,C,B,30,M,1,PW,1,0,0
15:30:00,4,A,D,A,H,A,-117.9787275,34.03684319,Y,A,N,0,1,I,2012,C,W,59,M,1,PW,1,1,0
17:02:00,1,A,F,A,H,A,-118.0706799,33.99446139,Y,A,N,0,1,B,2015,C,H,19,M,1,PW,1,1,0
17:45:00,4,A,B,A,H,C,-118.3761601,34.04904007,N,A,N,0,1,B,2008,C,O,26,M,1,PW,1,0,1
17:45:00,4,A,A,A,H,A,-118.33859,34.08526012,N,A,ZZ,0,1,B,2009,C,B,23,M,1,GM,1,3,0
18:40:00,3,A,B,A,H,A,-118.34187,34.06492003,N,A,N,0,2,A,2017,C,W,32,F,2,FW,0,3,0
18:40:00,3,A,B,A,H,A,-118.34187,34.06492003,N,A,N,0,2,A,2017,C,W,33,M,1,PW,1,3,1
15:20:00,6,A,E,A,H,A,-118.3359937,34.09798,Y,A,N,0,2,M,2007,C,W,24,F,2,PW,0,1,0
15:20:00,6,A,E,A,H,A,-118.3359937,34.09798,Y,A,N,0,2,M,2007,C,W,53,M,1,PW,1,1,1
11:33:00,2,A,D,A,H,A,-118.0467601,33.90961008,N,A,N,0,1,B,2016,C,H,27,M,1,PW,1,2,0
14:19:00,7,A,C,A,H,A,-118.0814598,34.68983892,Y,A,N,0,1,B,2016,C,W,26,M,1,PW,1,1,0
10:00:00,7,A,C,A,H,C,-118.5622889,34.22040486,N,A,N,0,1,A,2016,C,B,52,M,1,GM,1,0,0
09:40:00,5,A,D,A,H,A,-118.1518552,33.78979933,N,A,N,0,1,B,2016,C,W,27,M,1,PW,1,1,1
13:27:00,6,A,B,A,H,A,-118.1417568,33.95945341,Y,A,N,0,1,I,2005,C,O,18,M,1,MW,1,0,0
11:25:00,2,A,D,A,H,A,-118.27846,33.93101002,Y,A,N,0,2,B,2006,C,H,2,M,2,MP,6,0,0
11:25:00,2,A,D,A,H,A,-118.27846,33.93101002,Y,A,N,0,2,B,2006,C,H,42,F,1,GM,1,0,0
17:22:00,4,A,D,A,H,A,-118.12575,33.95142006,Y,A,N,0,1,B,2008,C,B,26,M,1,PW,1,0,0
05:00:00,1,A,B,A,H,C,-118.3001901,33.98914002,Y,A,N,0,1,B,2009,C,B,29,M,1,PW,1,0,0
15:00:00,6,A,D,A,H,A,-118.0734525,34.08836467,Y,A,N,0,1,B,2009,C,H,32,M,1,PW,1,1,1
20:45:00,4,A,B,A,H,C,-118.4394601,34.07826011,N,A,N,0,1,B,2014,C,W,71,M,1,PW,1,0,0
10:30:00,4,A,C,A,H,A,-118.0730554,34.07775439,N,A,N,0,1,B,2007,C,H,19,M,1,PW,1,1,0
17:28:00,5,A,D,A,H,A,-118.355675,33.8729282,N,A,N,0,1,B,2017,C,H,20,M,1,PV,1,1,0
08:05:00,4,A,D,A,H,A,-118.3527801,33.91453004,N,A,N,0,1,B,2015,C,H,34,M,1,PW,1,0,0
16:20:00,5,A,D,A,H,A,-118.5552801,34.26626012,N,A,A,0,1,E,2009,C,B,63,M,1,PV,9,1,1
09:30:00,4,A,B,A,H,A,-118.3648293,34.06604569,N,A,N,0,1,B,2015,C,W,36,F,1,PW,1,0,0
16:30:00,6,A,D,A,H,A,-118.2670127,33.7910227,N,A,N,0,1,B,2016,C,H,30,M,1,PW,1,0,0
09:08:00,2,A,D,A,H,A,-118.0887304,33.90211,N,A,E,0,1,B,2014,C,H,29,M,1,PW,1,1,0
18:50:00,4,A,D,A,H,C,-118.2175101,34.02725006,Y,G,A,0,1,B,2007,C,H,19,M,1,PW,1,1,1
18:15:00,5,A,E,A,H,A,-118.3385545,34.09797,Y,A,N,0,1,B,2007,C,W,23,M,1,PW,1,2,1
16:05:00,3,A,D,A,H,A,-118.64301,34.17785005,N,H,N,0,1,B,2009,C,B,23,M,1,PW,1,0,0
11:25:00,3,A,B,A,H,A,-118.1658248,34.14064885,Y,G,N,0,1,B,2016,C,H,30,F,1,PW,1,1,0
18:10:00,1,A,D,A,H,A,-118.0071901,33.89877001,N,A,N,0,1,B,2014,C,A,68,M,1,GL,1,0,0
08:45:00,2,A,D,A,H,A,-118.3228901,34.06362002,N,A,N,0,1,B,2013,C,H,28,F,1,PW,1,0,0
17:30:00,7,A,E,A,H,A,-118.4337895,33.94067154,Y,A,N,0,1,B,2016,C,H,23,M,1,PW,1,1,0
17:40:00,5,A,D,A,H,A,-118.36482,34.06610005,N,G,N,0,1,B,2016,C,H,31,M,1,PW,1,1,1
18:45:00,3,A,D,A,H,A,-118.4449101,33.96171006,Y,A,F,0,1,E,2009,C,W,33,M,1,MP,1,1,0
13:55:00,6,A,C,A,H,A,-118.4017121,34.14298864,Y,A,N,0,1,B,2015,C,O,25,M,1,PW,1,1,0
13:20:00,2,A,D,A,H,A,-118.1888621,33.97967402,N,A,N,0,1,B,2002,C,H,40,M,1,PW,1,0,0
