case_id,party_number,victim_number,accident_year,collision_time,day_of_week,weather_1,primary_coll_factor,type_of_collision,at_fault,party_sex,party_soberiety,oaf_1,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,race,road_surface,road_cond_1,lighting,point_x,point_y,victim_age,severe_injury,safety_equip_used,victim_sex,victim_seating_postion,victim_ejected
90708552,2,1,2018,1410,5,A,A,C,N,M,A,N,A,2005,GMC,D,H,A,H,A,-118.0886383,33.95513153,55,0,GM,F,3,0
90808922,2,1,2018,1420,4,A,A,C,N,M,A,N,B,2002,FORD,D,O,A,H,A,-118.3283615,34.02130127,34,0,GM,M,1,0
91015430,2,1,2019,1745,4,A,A,C,N,M,A,N,B,2016,RAM,D,W,A,H,A,-118.6419449,34.15765381,72,0,GM,M,1,0
91015430,2,2,2019,1745,4,A,A,C,N,M,A,N,B,2016,RAM,D,W,A,H,A,-118.6419449,34.15765381,36,0,GM,F,3,0
8347610,2,1,2017,45,7,A,A,D,N,M,A,N,B,2001,FORD,D,H,A,H,C,-118.27389,33.94194005,51,0,GM,M,1,0
8594328,1,1,2018,955,6,A,A,D,Y,F,A,N,E,2016,GMC,D,H,A,H,A,-118.5709763,34.19379044,60,0,GL,F,1,0
8722975,2,1,2018,1950,4,A,A,B,N,M,A,ZZ,B,2018,NISSAN,D,H,A,H,C,-118.2915268,34.01834869,43,0,GM,M,1,0
8858912,1,1,2019,1950,5,A,A,G,Y,M,B,A,B,2000,FORD,D,W,A,H,C,-118.8083496,34.02215195,63,0,GM,M,1,0
8868624,2,1,2019,40,5,A,A,C,N,M,A,N,B,2007,CHEVROLET,D,H,A,H,D,-118.5724792,34.20113373,49,0,GM,M,1,0
90712328,2,1,2018,1400,2,A,A,D,N,M,A,N,B,2003,TOYO,D,H,A,H,A,-118.0416107,33.93693924,24,0,GL,M,1,0
90712328,2,2,2018,1400,2,A,A,D,N,M,A,N,B,2003,TOYO,D,H,A,H,A,-118.0416107,33.93693924,41,0,GM,M,3,0
90796318,2,1,2018,1916,5,A,A,D,Y,M,A,N,L,2015,TOYO,D,H,A,H,B,-118.3580627,33.99653244,26,1,GM,M,1,1
90876832,2,1,2018,1855,1,A,A,C,N,M,A,N,B,2008,CHEV,D,B,A,H,C,-118.2514725,34.0604248,58,0,GM,M,1,0
8435677,2,1,2017,2044,1,A,A,D,N,M,A,N,B,1996,DODGE,D,H,A,H,C,-118.36131,33.92371857,39,0,GL,M,1,0
8435677,2,2,2017,2044,1,A,A,D,N,M,A,N,B,1996,DODGE,D,H,A,H,C,-118.36131,33.92371857,39,0,GM,F,3,0
8435677,2,3,2017,2044,1,A,A,D,N,M,A,N,B,1996,DODGE,D,H,A,H,C,-118.36131,33.92371857,7,0,GP,F,5,0
8435677,2,4,2017,2044,1,A,A,D,N,M,A,N,B,1996,DODGE,D,H,A,H,C,-118.36131,33.92371857,2,0,GP,F,4,0
8435677,2,5,2017,2044,1,A,A,D,N,M,A,N,B,1996,DODGE,D,H,A,H,C,-118.36131,33.92371857,9,0,GP,F,6,0
8561290,2,1,2018,1510,3,A,A,A,N,M,A,N,B,2010,FORD,D,W,A,H,A,-118.536087,34.24998856,37,0,GM,M,1,0
8561290,2,2,2018,1510,3,A,A,A,N,M,A,N,B,2010,FORD,D,W,A,H,A,-118.536087,34.24998856,12,0,GM,M,3,0
